"","doi","eligiblity","study_design","functional_outcome","functional_outcome_1","functional_outcome_2","functional_outcome_3","neurological_condition_1","neurological_condition_2","effect_estimate","roc_present","covariate_intent","figure_other","figure_other_outcome_1","figure_other_outcome_2","spbg_present","figure_identification_1","figure_outcome_1","stratified_1","unadjusted_1","adjusted_1","adjustment_method_1","additional_spbg_1","figure_identification_2","figure_outcome_2","stratified_2","unadjusted_2","adjusted_2","adjustment_method_2","additional_spbg_2","figure_identification_3","figure_outcome_3","stratified_3","unadjusted_3","adjusted_3","adjustment_method_3","additional_spbg_3","figure_identification_4","figure_outcome_4","stratified_4","unadjusted_4","adjusted_4","adjustment_method_4","additional_spbg_4","figure_identification_5","figure_outcome_5","stratified_5","unadjusted_5","adjusted_5","adjustment_method_5","additional_spbg_5","contains_adj_spbg","spbg_count","spbg_outcome","SPBG_outcome","analysis_sample"
"178","10.1001/jamaneurol.2021.1707","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1A","mRS","No","Yes","No","NA;","Yes","Figure 2BC","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 2D","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","",NA,1,3,"mRS","mRS","primary"
"179","10.1136/svn-2021-001024","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"180","10.1161/STROKEAHA.120.034033","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"181","10.1212/WNL.0000000000009764","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"182","10.1161/STROKEAHA.120.028963","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"183","10.1161/STROKEAHA.120.029194","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Risk ratio;Mean difference;",0,"Yes","Yes","mRS"," NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"184","10.1212/WNL.0000000000011566","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 1AB","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"185","10.1161/STROKEAHA.120.031929","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 3A","mRS","No","Yes","No","NA;","Yes","Figure 3B","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","",NA,0,4,"mRS","mRS","primary"
"186","10.1161/STROKEAHA.119.028287","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","No","Yes","Regression;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"187","10.1212/WNL.0000000000011096","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"188","10.1161/STROKEAHA.121.034195","Yes","cohort","NIHSS;mRS;","NIHSS","mRS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"189","10.1161/STROKEAHA.120.033101","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;Comparison of values between exposure status with p-value;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1 top","mRS","No","No","Yes","PS Matching;","Yes","Figure 1 bottom","mRS","Yes","No","Yes","Stratified (select this if you previously indicated that the graph is stratified);PS Matching;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"190","10.1212/WNL.0000000000010955","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","Yes","Figure 3","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"191","10.1161/STROKEAHA.120.029292","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"192","10.1161/STROKEAHA.120.029907","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","Yes","Figure 1","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"193","10.1212/WNL.0000000000008674","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"194","10.1161/STROKEAHA.119.027791","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;Risk ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"195","10.1161/STROKEAHA.119.026914","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","NIHSS"," mRS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"196","10.1161/STROKEAHA.121.034408","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"197","10.1136/jnnp-2020-323015","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"198","10.1136/jnnp-2020-325328","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3","mRS","No","Yes","No","NA;","Yes","Figure 4","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"199","10.1212/WNL.0000000000012063","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS","NIHSS","Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"200","10.1161/STROKEAHA.120.029830","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"201","10.1161/STROKEAHA.120.033539","Yes","case-control","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure top","mRS","No","Yes","No","NA;","Yes","Figure bottom","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"202","10.1161/STROKEAHA.120.031651","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"203","10.1161/STROKEAHA.120.029267","Yes","cohort","mRS;","mRS","",NA,"Stroke (all)","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"204","10.1212/WNL.0000000000008930","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"205","10.1001/jamaneurol.2019.4192","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"206","10.1161/STROKEAHA.119.027230","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"207","10.1001/jamaneurol.2020.0156","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1A","mRS","No","Yes","No","NA;","Yes","Figure 1B","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"208","10.1001/jamaneurol.2020.4596","Yes","cohort","GOS;","GOS (unextended)","",NA,"TBI","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"209","10.1212/WNL.0000000000011268","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",1,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"210","10.1212/WNL.0000000000010950","Yes","cohort","ISNCSCI; SCIM 3;","ISNCSCI"," SCIM 3","","Spinal Cord Injury","","Beta coefficient(s) only;",0,"Yes","Yes","ISNCSCI motor score"," SCIM","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"211","10.1161/STROKEAHA.119.028675","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"212","10.1161/STROKEAHA.120.033032","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"213","10.1212/WNL.0000000000010245","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;Risk difference;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","No","Yes","Regression;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"214","10.1161/STROKEAHA.120.029944","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"215","10.1161/STROKEAHA.120.031386","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 3","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"216","10.1002/ana.26152","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 4A","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 4B","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"217","10.1002/ana.25917","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"218","10.1212/WNL.0000000000010203","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"219","10.1212/WNL.0000000000008748","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","Yes","Figure 3","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"220","10.1212/NXI.0000000000001088","Yes","cohort","mRS;","mRS","",NA,"Encephalitis","","Risk ratio;",0,"Yes","No",NA,NA,"Yes","Figure 3Ga","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 3Gb","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 3Gc","mRS","Yes","Yes","No","NA;","Yes","Figure 3Gd","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","",NA,0,4,"mRS","mRS","primary"
"221","10.1161/STROKEAHA.120.031599","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;Comparison of values between exposure status with p-value; Mean difference",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","No","Yes","PS Matching;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,1,1,"mRS","mRS","primary"
"222","10.1161/STROKEAHA.120.031392","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"223","10.1212/WNL.0000000000008654","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"224","10.1161/STROKEAHA.121.034926","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"225","10.1002/ana.25949","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"226","10.1002/ana.25756","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"227","10.1161/STROKEAHA.120.030895","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,0,2,"mRS","mRS","primary"
"228","10.1136/jnnp-2020-324869","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"229","10.1136/svn-2020-000803","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"230","10.1161/STROKEAHA.119.025856","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"231","10.1212/WNL.0000000000010603","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Risk ratio;Odds ratio;",0,"Yes","Yes","NIHSS",NA,"Yes","Figure 4","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"232","10.1002/ana.26272","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2A","mRS","No","Yes","No","NA;","Yes","Figure 2B","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","Yes","Figure 2C","mRS","No","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","",NA,0,3,"mRS","mRS","primary"
"233","10.1161/STROKEAHA.121.034960","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"234","10.1161/STROKEAHA.120.030041","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"235","10.1161/STROKEAHA.120.033152","Yes","cohort","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"236","10.1161/STROKEAHA.121.035615","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"237","10.1212/WNL.0000000000010618","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"238","10.1161/STROKEAHA.120.031685","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2","mRS","Yes","Yes","No","Stratified (select this if you previously indicated that the graph is stratified);","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"239","10.1161/STROKEAHA.120.031031","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"Yes","Figure 2A","mRS","No","No","Yes","PS Matching;","Yes","Figure 2B","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","",NA,1,2,"mRS","mRS","primary"
"240","10.1002/ana.25978","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS"," NIHSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"241","10.1212/WNL.0000000000011449","Yes","cohort","UW-mRS;mRS;NIHSS;","UW-mRS","mRS","NIHSS","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","UW-mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"242","10.1161/STROKEAHA.120.033657","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"243","10.1093/brain/awaa251","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"244","10.1001/jamaneurol.2020.2804","Yes","case-control","mRS;","mRS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 1","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
"245","10.1212/WNL.0000000000010990","Yes","cohort","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",1,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"sensitivity"
"246","10.1161/STROKEAHA.119.028845","Yes","cohort","NIHSS;","NIHSS","",NA,"Ischemic stroke","","Odds ratio;",0,"Yes","Yes","NIHSS",NA,"Yes","Figure 1","NIHSS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"NIHSS","NIHSS","primary"
"247","10.1212/WNL.0000000000010414","Yes","cohort","Ped-MSSS;EDSS;","Ped-MSSS","EDSS","","Multiple sclerosis","","Beta coefficient(s) only;",0,"Yes","Yes","EDSS"," PedMSSS","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"248","10.1212/NXI.0000000000001047","Yes","cohort","EDSS;","EDSS","",NA,"Multiple sclerosis","","Hazard ratio;",0,"Yes","Yes","EDSS",NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"249","10.1161/STROKEAHA.119.028406","Yes","case-control","mRS;","mRS","",NA,"Hemorrhagic stroke","","Odds ratio;",0,"Yes","No",NA,NA,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,99,0,"",NA,"primary"
"250","10.1161/STROKEAHA.120.033334","Yes","cohort","mRS;NIHSS;","mRS","NIHSS","","Ischemic stroke","","Odds ratio;",0,"Yes","Yes","mRS",NA,"Yes","Figure 2","mRS","No","Yes","No","NA;","No","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,0,1,"mRS","mRS","primary"
